pais,muertesCovid_2020,casosCovid_2020,pm2.5_2019,pm2.5_2018,pm2.5_2017,tasa_mortalidad_polucion_2019,%open_defecation_2020,%open_defecation_2019,%open_defecation_2018,%handwashing_facilities_home_2020,%handwashing_facilities_home_2019,%handwashing_facilities_home_2018,%basic_sanitation_ser_2020,%basic_sanitation_ser_2019,%basic_sanitation_ser_2018,%basic_drinking-water_ser_2020,%basic_drinking-water_ser_2019
Angola,371,16188,27.16,25.85,25.44,59 ,18,18,19,27,27,27,52,51,51,57,57
Antigua and Barbuda,4,148,8.30 ,8.87 ,9.27 ,22 ,,,,,,,,,,,
Argentina,40766,1498160,12.04,12.60,13.24,42 ,,,,,,,,,,,
Armenia,2503,148682,34.13,37.09,37.76,114,0,0,0,95,95,95,94,94,94,100,100
Australia,908,28031,8.93 ,7.11 ,6.89 ,21 ,0,0,0,,,,100,100,100,100,100
Austria,4400,320036,11.51,12.68,12.32,48 ,0,0,0,,,,100,100,100,100,100
Azerbaijan,1922,175874,24.64,26.96,27.48,110,,0,0,,,,,96,96,96,95
Bahamas,163,7674,5.20 ,5.61 ,5.80 ,10 ,,0,0,,,,,95,95,,99
Bahrain,348,89143,51.82,54.49,54.72,25 ,0,0,0,,,,100,100,100,100,100
Bangladesh,7052,490533,45.99,50.66,46.19,101,0,0,0,58,55,52,54,53,51,98,98
Barbados,7,292,9.79 ,10.36,10.91,42 ,,,1,,,,98,98,97,99,99
Belarus,1263,160295,15.48,16.09,14.37,138,0,0,0,,,,98,98,98,97,97
Belgium,17951,608001,11.26,12.16,12.33,42 ,0,0,0,,,,99,99,99,100,100
Belize,195,9295,10.51,10.90,11.36,27 ,1,1,1,90,90,90,88,88,88,98,98
Benin,44,3090,31.51,32.34,32.66,102,52,52,53,12,11,11,17,17,16,65,65
Bhutan,0,438,26.10,28.73,26.49,74 ,0,0,1,92,91,89,77,75,74,97,97
Bolivia,9018,147150,25.23,24.63,24.17,73 ,10,11,12,27,27,27,66,64,62,93,93
Bosnia and Herzegovina,3336,101117,26.19,32.02,31.40,235,,,0,,,,,,95,96,96
Botswana,37,12501,12.82,12.95,13.11,79 ,10,10,11,,,,80,80,79,92,92
Brazil,181402,6901952,10.94,11.15,14.86,33 ,0,1,1,,,,90,89,88,99,99
Brunei Darussalam,3,152,6.86 ,6.70 ,7.03 ,14 ,,,,,,,,,,100,100
Bulgaria,5688,179449,17.29,20.40,20.30,155,0,0,0,,,,86,86,86,99,99
Burkina Faso,71,4030,40.74,41.77,42.74,84 ,40,41,43,9,9,9,22,21,21,47,48
Burundi,1,729,28.00,27.98,27.63,80 ,3,3,3,6,6,6,46,46,46,62,62
Cambodia,0,359,17.80,17.16,16.84,94 ,19,22,26,74,73,71,69,66,62,71,71
Cameroon,443,25143,56.37,57.80,59.30,90 ,6,6,6,36,36,36,45,44,44,66,65
Canada,13431,460743,6.39 ,7.09 ,6.90 ,18 ,0,0,0,,,,99,99,99,99,99
Cabo Verde,110,11357,31.08,31.20,32.59,63 ,14,16,18,,,,79,77,76,89,88
Central African Republic,63,4936,27.20,28.25,27.94,140,25,25,25,22,21,20,14,14,15,37,38
Chad,102,1770,41.15,42.61,44.36,112,64,65,65,25,24,24,12,12,12,46,46
Chile,15886,571919,20.49,21.47,22.69,27 ,0,0,0,,,,100,100,100,100,100
China,4739,91994,38.15,40.54,46.90,121,0,0,0,,,,92,91,89,94,94
Colombia,39053,1425774,14.04,14.72,15.90,34 ,3,3,3,68,68,68,94,93,92,97,97
Comoros,7,628,14.37,14.42,14.29,79 ,,,1,,,,,36,36,,80
Congo,99,6049,29.48,29.27,28.77,68 ,8,9,9,,48,48,20,20,20,74,74
Costa Rica,1895,150947,14.70,15.59,17.05,22 ,0,0,0,86,86,85,98,98,98,100,100
Cote dIvoire,133,21680,40.41,41.81,42.12,86 ,25,26,26,22,21,20,35,34,33,71,71
Croatia,2640,175886,15.29,18.98,18.22,88 ,0,0,0,,,,97,97,97,,
Cuba,137,9423,13.32,14.28,14.76,82 ,0,0,0,92,91,90,91,91,91,97,97
Cyprus,78,15101,14.52,15.38,14.60,28 ,0,0,0,,,,99,99,99,100,100
Czechia,9613,581079,14.34,17.50,16.99,77 ,0,0,0,,,,99,99,99,100,100
Democratic Republic of the Congo,355,14512,31.58,31.46,31.32,100,12,12,12,19,19,19,15,16,16,46,45
Denmark,941,109758,9.66 ,10.02,9.97 ,32 ,0,0,0,,,,100,100,100,100,100
Djibouti,61,5728,19.98,20.39,20.90,111,16,16,17,,,,67,67,65,76,76
Dominican Republic,2361,154692,7.59 ,8.00 ,8.32 ,39 ,2,2,2,47,47,47,87,87,86,97,97
Ecuador,13875,202110,16.55,16.38,15.84,27 ,1,1,2,87,87,87,92,91,90,95,95
Egypt,6920,121575,63.16,62.20,62.05,70 ,0,0,0,90,90,90,97,97,97,99,99
El Salvador,1205,41880,22.15,23.36,24.94,44 ,0,1,1,,,91,82,83,83,98,98
Equatorial Guinea,85,5185,25.67,26.38,26.62,70 ,,,,,,,,,,,
Eritrea,0,711,22.74,22.98,23.56,131,,,,,,,,,,,
Estonia,149,18055,6.35 ,6.70 ,5.90 ,35 ,0,0,0,,,,99,99,99,100,100
Eswatini,127,6768,15.07,14.95,14.78,93 ,4,4,5,24,24,24,64,64,63,71,71
Ethiopia,1806,116769,21.80,22.23,22.23,68 ,17,20,23,8,8,8,9,9,8,50,48
Fiji,2,46,7.36 ,7.52 ,7.45 ,87 ,0,0,0,,,,99,99,99,94,94
Finland,453,30810,5.47 ,5.57 ,5.37 ,21 ,0,0,0,,,,99,99,99,100,100
France,57911,2376852,10.46,11.23,11.29,29 ,0,0,0,,,,99,99,99,100,100
Gabon,63,9330,26.29,26.26,25.90,38 ,2,2,2,,,,50,50,49,85,85
Gambia,123,3782,39.10,39.86,40.50,79 ,0,0,1,18,18,18,47,47,47,81,81
Georgia,1839,191063,19.06,20.66,21.06,175,0,0,0,92,92,92,86,86,86,97,97
Germany,21975,1337078,10.73,11.70,11.78,45 ,0,0,0,,,,99,99,99,100,100
Ghana,327,53014,46.04,48.04,48.44,85 ,18,18,18,42,41,41,24,23,22,86,85
Greece,3625,124534,14.62,15.69,15.20,75 ,0,0,0,,,,99,99,99,100,100
Grenada,0,69,10.08,10.57,11.14,59 ,,,,,,,,,,,
Guatemala,4423,129282,20.75,21.71,23.82,61 ,2,3,3,,77,77,68,68,67,94,94
Guinea,79,13420,37.57,37.96,38.63,111,12,13,13,20,20,20,30,28,27,64,64
Guyana,155,5920,11.11,11.52,12.03,84 ,1,1,1,,,77,86,86,86,96,96
Haiti,234,9565,9.69 ,10.23,10.61,138,18,18,19,22,22,23,37,37,36,67,66
Honduras,2975,114359,18.93,20.03,21.07,71 ,4,5,5,,,,84,83,82,96,95
Hungary,7130,283870,14.24,17.25,16.62,99 ,0,0,0,,,,98,98,98,100,100
Iceland,28,5557,5.79 ,5.89 ,5.75 ,17 ,0,0,0,,,,99,99,99,100,100
India,143355,9884100,50.17,55.48,51.30,108,15,18,21,68,68,68,71,68,65,90,90
Indonesia,18819,617820,19.34,18.47,18.41,73 ,6,7,8,94,94,92,86,84,81,92,92
Iran,52196,1108269,31.62,32.18,30.35,46 ,,,,,,,90,90,90,97,97
Iraq,12579,574634,39.29,39.98,38.86,39 ,0,0,0,97,97,96,100,99,98,98,98
Ireland,2129,76185,8.20 ,8.31 ,8.13 ,23 ,0,0,0,,,,91,91,91,97,97
Israel,2999,357859,19.47,20.22,19.54,24 ,0,0,0,,,,100,100,100,100,100
Italy,64551,1843712,14.22,15.97,15.73,54 ,0,0,0,,,,100,100,100,100,100
Jamaica,273,11710,14.83,15.73,16.30,41 ,1,1,1,,,,87,87,86,91,91
Japan,2585,179653,10.84,10.87,11.89,48 ,0,0,0,,,,100,100,100,99,99
Jordan,3365,259614,25.87,25.85,25.29,19 ,0,0,0,,,,97,97,97,99,99
Kazakhstan,2552,186277,26.50,28.46,29.04,82 ,0,0,0,,99,99,98,98,98,95,95
Kenya,1587,91892,12.52,12.58,12.51,49 ,9,9,9,27,27,27,33,33,33,62,61
Kuwait,911,146218,64.08,66.05,65.63,23 ,0,0,0,,,,100,100,100,100,100
Kyrgyzstan,1755,77674,37.58,41.00,41.61,76 ,0,0,0,100,98,97,98,98,98,92,91
Latvia,349,25675,12.02,12.84,11.46,111,0,0,0,,,,92,92,92,99,99
Lebanon,1200,146520,24.23,24.08,23.53,54 ,0,0,0,,,,99,99,98,93,93
Lesotho,44,2250,17.60,17.80,17.75,195,22,23,24,6,5,5,50,48,47,72,72
Liberia,83,1676,35.80,35.68,35.98,74 ,38,38,39,,,,18,18,18,75,75
Libya,1299,90779,29.84,30.41,28.42,33 ,1,1,1,,,,92,92,92,100,100
Lithuania,825,95021,10.37,11.12,9.91 ,115,0,0,0,,,,94,94,94,98,98
Luxembourg,396,41272,8.89 ,9.71 ,9.84 ,26 ,0,0,0,,,,98,98,98,100,100
Madagascar,258,17638,16.02,16.14,15.86,93 ,42,42,42,27,26,26,12,12,12,53,52
Malawi,187,6066,18.57,18.61,18.48,56 ,4,5,6,8,8,8,27,26,26,70,69
Malaysia,415,83475,21.52,20.50,20.38,64 ,,,,,,,,,100,97,97
